review_id,source_key,review_decision,selected_core_id,losing_core_ids,name_source,geometry_policy,review_note,updated_at
village_tract:MMR017001039:row1492:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017001039:row1492:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7330,,,,,2026-09-21T10:25:01.061Z
village_tract:MMR017001030:row1505:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017001030:row1505:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7349,,,,,2026-09-21T10:25:05.795Z
village_tract:MMR017006034:row1593:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017006034:row1593:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7284,,,,,2026-09-21T10:25:11.739Z
village_tract:MMR017020701:row824:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017020701:row824:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,selective_merge,7331,,coremap,union,,2026-09-21T10:28:26.290Z
village_tract:MMR017006038:row1636:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017006038:row1636:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7277,,,,,2026-09-21T10:28:32.459Z
village_tract:MMR017006045:row1642:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017006045:row1642:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7277,,,,,2026-09-21T10:28:38.390Z
village_tract:MMR017006002:row1653:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017006002:row1653:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7268,,,,,2026-09-21T10:28:42.000Z
village_tract:MMR017006055:row1654:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017006055:row1654:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7261,,,,,2026-09-21T10:28:45.188Z
village_tract:MMR017026012:row1757:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017026012:row1757:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7426,,,,,2026-09-21T10:28:49.593Z
village_tract:MMR017025063:row1869:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017025063:row1869:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7422,,,,,2026-09-21T10:28:53.044Z
village_tract:MMR017025066:row1918:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017025066:row1918:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7421,,,,,2026-09-21T10:28:55.137Z
village_tract:MMR008006018:row2195:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR008006018:row2195:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,7141,,,,,2026-09-21T10:29:01.684Z
village_tract:MMR008002004:row2039:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR008002004:row2039:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,7113,,,,,2026-09-21T10:29:04.168Z
village_tract:MMR008006009:row2205:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR008006009:row2205:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,7142,,,,,2026-09-21T10:29:06.899Z
village_tract:MMR008005017:row2256:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR008005017:row2256:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,7159,,,,,2026-09-21T10:29:10.082Z
village_tract:MMR008005003:row2276:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR008005003:row2276:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,7138,,,,,2026-09-21T10:29:13.216Z
village_tract:MMR008005001:row2277:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR008005001:row2277:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,7140,,,,,2026-09-21T10:29:15.532Z
village_tract:MMR007007033:row2807:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR007007033:row2807:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,5912,,,,auto: unique weak-link (no_exact_name + 1 cand + weak spatial) → keep_both,2026-09-21T10:33:07.005757Z
village_tract:MMR007007001:row2817:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR007007001:row2817:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,5918,,,,auto: unique weak-link (no_exact_name + 1 cand + weak spatial) → keep_both,2026-09-21T10:33:07.005757Z
village_tract:MMR007002008:row3101:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR007002008:row3101:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,5859,,,,auto: unique weak-link (no_exact_name + 1 cand + weak spatial) → keep_both,2026-09-21T10:33:07.005757Z
village_tract:MMR007002004:row3143:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR007002004:row3143:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,5864,,,,auto: unique weak-link (no_exact_name + 1 cand + weak spatial) → keep_both,2026-09-21T10:33:07.005757Z
village_tract:MMR007004007:row3179:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR007004007:row3179:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,5870,,,,auto: unique weak-link (no_exact_name + 1 cand + weak spatial) → keep_both,2026-09-21T10:33:07.005757Z
village_tract:MMR007009018:row3381:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,village_tract:MMR007009018:row3381:village_tract_boundary_Bago_v94.zip_mmr_bgo_polbnda_adm4_mimu_250k_1.shp,keep_both,5946,,,,auto: unique weak-link (no_exact_name + 1 cand + weak spatial) → keep_both,2026-09-21T10:33:07.005757Z
