postal_code,status,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,inferred_locality_type,matched_township_id,matched_local_admin_area_id,name_evidence,match_method,duplicate_extra_source_rows,source_row_count_en,source_row_count_my,reason,matched_township_public_id,matched_local_admin_public_id,v2_status,v2_reason
0101026,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရွှေအိုက် ရပ်ကွက်,Shwe Aik Quarter,ward,6610,6645,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,b8e7a8f3-80f6-4cdb-af9f-b48c9184ac1c,linked_exact_local_area,Unique exact approved local-admin under matched township
0101027,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရွှေပြည်သာ ရပ်ကွက်,Shwe Pyi Thar Quarter,ward,6610,6643,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,5e698f2a-56fa-4f80-aa4b-150b18bba4f2,linked_exact_local_area,Unique exact approved local-admin under matched township
0101028,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပမ္မတီး ရပ်ကွက်,Pan Ma Ti Quarter,ward,6610,6644,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,d3c638d3-0e5b-429a-90c0-e61717a32038,linked_exact_local_area,Unique exact approved local-admin under matched township
0101200,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အာလမ် ကျေးရွာအုပ်စု,Alam Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,f1c3cf6f-2dc5-4683-a4cd-783554507407,linked_exact_local_area,linked to frozen create village_tract:MMR001001001:row4339:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101201,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နောင်နန်း ကျေးရွာအုပ်စု,Nawng Nang Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,81c4093a-627c-4c30-a625-1e863046579c,linked_exact_local_area,linked to frozen create village_tract:MMR001001002:row4354:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101202,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပလနစခန်းများ ကျေးရွာအုပ်စု,Pa La Na Sa Khan Myar Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,f8bad030-9754-4f91-ad99-f9d6713926a5,linked_exact_local_area,linked to frozen create village_tract:MMR001001003:row4360:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101203,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နန့်ကျင် ကျေးရွာအုပ်စု,Nam Kyin Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,c6d42a18-1c8c-4c9a-b97f-70f1aba6aed4,linked_exact_local_area,linked to frozen create village_tract:MMR001001004:row4353:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101204,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နန်းကွေ့ ကျေးရွာအုပ်စု,Nam Kwayt Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,f8d0b101-35b2-46cf-94f6-99156c7cac22,linked_exact_local_area,linked to frozen create village_tract:MMR001001005:row4356:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101205,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပမ္မတီး ကျေးရွာအုပ်စု,Pam Ma Ti Village Tract,village_tract,6610,6644,exact_my,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,d3c638d3-0e5b-429a-90c0-e61717a32038,linked_exact_local_area,Unique exact approved local-admin under matched township
0101206,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မော်ဖေါင်း ကျေးရွာအုပ်စု,Maw Hpawng Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,a98e84f2-ba59-41fd-bd6a-34144d758437,linked_exact_local_area,linked to frozen create village_tract:MMR001001007:row4351:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101207,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရှဒေါင် ကျေးရွာအုပ်စု,Sha Daung Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,0ee4f3c9-c91a-49ff-890e-347b288c0ce4,linked_exact_local_area,linked to frozen create village_tract:MMR001001008:row4362:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101208,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,လွယ်ခေါ ကျေးရွာအုပ်စု,Loi Hkaw Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,6142c0b2-3302-4ee3-a73e-ac89c3d41b84,linked_exact_local_area,linked to frozen create village_tract:MMR001001009:row4348:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101209,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တန်ဖဲ ကျေးရွာအုပ်စု,Tang Hpe Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,4d468940-0512-403a-ac33-71bb3bff9250,linked_exact_local_area,linked to frozen create village_tract:MMR001001010:row4365:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101210,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အင်ဂျစ်ယန် ကျေးရွာအုပ်စု,In Jit Yang Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,d043d3dd-3ce4-4b87-9e8d-f693938ab68a,linked_exact_local_area,linked to frozen create village_tract:MMR001001011:row4347:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101211,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တီယန်ဇွပ် ကျေးရွာအုပ်စု,Ti Yang Zug Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,0a48c2b9-e6b1-486a-9875-7afc0d492d65,linked_exact_local_area,linked to frozen create village_tract:MMR001001012:row4370:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101212,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တာလောကြီး ကျေးရွာအုပ်စု,Ta Law Gyi Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,f2243824-c96b-4ade-a8d0-f19a1155759f,linked_exact_local_area,linked to frozen create village_tract:MMR001001013:row4363:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101213,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ခေါင်ဖူးရွာသစ် ကျေးရွာအုပ်စု,Hkaung Hpu Ywar Thit Village Tract,village_tract,6610,,exact_my,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,cb335311-69c1-4cd9-a952-8426c546c9c8,linked_exact_local_area,linked to frozen create village_tract:MMR001001014:row4345:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101214,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ခေါင်ဖူးရွာဟောင်း ကျေးရွာအုပ်စု,Hkaung Hpu Ywar Haung Village Tract,village_tract,6610,,exact_my,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,b77eb9e6-1077-4593-b657-b08b2a0c4992,linked_exact_local_area,linked to frozen create village_tract:MMR001001015:row4340:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101215,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဟိုကပ် ကျေးရွာအုပ်စု,Ho Kat Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,5effd7eb-7ae3-49ed-9f28-8ebdf525e17d,linked_exact_local_area,linked to frozen create village_tract:MMR001001016:row4346:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101216,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,စံကင်း ကျေးရွာအုပ်စု,San Kin Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,7cacb0c4-a1e3-4591-9925-8d98cb3313fa,linked_exact_local_area,linked to frozen create village_tract:MMR001001017:row4361:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101217,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အကြဲ ကျေးရွာအုပ်စု,Ah Kye Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,09ca5a1c-4fc1-47e4-9367-404a9e0ab070,linked_exact_local_area,linked to frozen create village_tract:MMR001001018:row4344:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101218,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြင်သာ ကျေးရွာအုပ်စု,Myin Thar Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,bd98ed90-8e60-4ea7-b303-03be05f94015,linked_exact_local_area,linked to frozen create village_tract:MMR001001019:row4352:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101219,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရေနားပင်လုံ ကျေးရွာအုပ်စု,Yae Nar Pin Lon Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,d2615f38-8e10-4ca3-bcb3-9059683f9340,linked_exact_local_area,linked to frozen create village_tract:MMR001001020:row4368:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
0101220,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပင်တော် ကျေးရွာအုပ်စု,Pin Taw Village Tract,village_tract,6610,,exact_my+en,exact_local_frozen_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text",,8c65312a-cd6a-4c91-aaa3-c2c3331be3b9,linked_exact_local_area,linked to frozen create village_tract:MMR001001021:row4101:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township
