coremap_id,source_key,outcome,name_en,name_my
6408,03_Township:239,reparented,Mongyawng,မိုင်းယောင်း
7362,03_Township:27,renamed,Pathein,ပုသိမ်
7344,03_Township:13,renamed,Kangyidaunt,ကန်ကြီးထောင့်
7186,03_Township:29,renamed,Thabaung,သာပေါင်း
7364,03_Township:24,renamed,Ngapudaw,ငပုတော
7282,03_Township:17,reparented,Kyonpyaw,ကျုံပျော်
7187,03_Township:31,reparented,Yegyi,ရေကြည်
7286,03_Township:16,reparented,Kyaunggon,ကျောင်းကုန်း
7208,03_Township:11,reparented,Hinthada,ဟင်္သာတ
7259,03_Township:32,reparented,Zalun,ဇလွန်
7194,03_Township:19,reparented,Lemyethna,လေးမျက်နှာ
6767,03_Township:22,renamed,Myanaung,မြန်အောင်
7172,03_Township:15,renamed,Kyangin,ကြံခင်း
7215,03_Township:12,renamed,Ingapu,အင်္ဂပူ
7335,03_Township:23,renamed,Myaungmya,မြောင်းမြ
7326,03_Township:10,renamed,Einme,အိမ်မဲ
7374,03_Township:18,renamed,Labutta,လပွတ္တာ
7323,03_Township:30,renamed,Wakema,ဝါးခယ်မ
7392,03_Township:21,renamed,Mawlamyinegyun,မော်လမြိုင်ကျွန်း
7525,03_Township:20,renamed,Maubin,မအူပင်
7332,03_Township:26,renamed,Pantanaw,ပန်းတနော်
7524,03_Township:25,renamed,Nyaungdon,ညောင်တုန်း
7295,03_Township:8,renamed,Danubyu,ဓနုဖြူ
7375,03_Township:28,renamed,Pyapon,ဖျာပုံ
7376,03_Township:7,renamed,Bogale,ဘိုကလေး
7309,03_Township:14,renamed,Kyaiklat,ကျိုက်လတ်
7427,03_Township:9,renamed,Dedaye,ဒေးဒရဲ
6046,03_Township:172,reparented,Zay Yar Thi Ri,ဇေယျာသီရိ
6029,03_Township:171,renamed,Za Bu Thi Ri,ဇမ္ဗူသီရိ
6067,03_Township:170,renamed,Tatkon,တပ်ကုန်း
6032,03_Township:165,reparented,Det Khi Na Thi Ri,ဒက္ခိဏသီရိ
6059,03_Township:168,reparented,Poke Ba Thi Ri,ပုဗ္ဗသီရိ
6038,03_Township:169,renamed,Pyinmana,ပျဉ်းမနား
5990,03_Township:166,reparented,Lewe,လယ်ဝေး
7079,03_Township:167,renamed,Oke Ta Ra Thi Ri,ဥတ္တရသီရိ
