source_key,level,action,outcome,coremap_id,target_parent_id,name_en,name_my,official,rename,reparent,reclassify,create,notes
02_District:55,district,create_mimu_placeholder,renamed,12,13,Yangon (South),ရန်ကုန်(တောင်ပိုင်း),True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:56,district,create_mimu_placeholder,renamed,5310,13,Yangon (West),ရန်ကုန်(အနောက်ပိုင်း),True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:57,district,update_name,renamed,6176,6329,Taunggyi,တောင်ကြီးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:58,district,update_name,renamed,6309,6329,Loilen,လွိုင်လင်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:59,district,update_name,renamed,6383,6329,Langkho,လင်းခေးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:60,district,create_mimu_placeholder,renamed,6463,6329,Lashio,လားရှိုးခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:61,district,create_mimu_placeholder,renamed,6598,6329,Muse,မူဆယ်ခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:62,district,update_name,renamed,6500,6329,Kyaukme,ကျောက်မဲခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:63,district,mark_reference_only,extra/reference,,,Kunlong,ကွမ်းလုံခရိုင်,False,False,False,False,False,unmatched_reference_only_no_create
02_District:64,district,mark_reference_only,extra/reference,,,Laukkaing,လောက်ကိုင်ခရိုင်,False,False,False,False,False,unmatched_reference_only_no_create
02_District:65,district,create_mimu_placeholder,reparented,6452,6329,Hopang,ဟိုပန်ခရိုင်,True,True,True,False,False,promoted_to_match:spatial_core_id_promote
02_District:66,district,create_mimu_placeholder,reparented,6474,6329,Matman,မက်မန်းခရိုင်,True,True,True,False,False,promoted_to_match:spatial_core_id_promote
02_District:67,district,update_name,renamed,6586,6329,Mongmit,မိုးမိတ်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:68,district,mark_reference_only,extra/reference,,,Laukkaing (Kokang SAZ),လောက်ကိုင်-ကိုးကန့်အထူးဒေသ (၁),False,False,False,False,False,unmatched_reference_only_no_create
02_District:69,district,manual_review,manual_review_remaining,,,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),False,False,False,False,False,Fuzzy-name candidates are review-only: 6294:မိုင်းလားအထူးဒေသ:0.824
02_District:70,district,mark_reference_only,extra/reference,,,Wein Kawng (Wein Kao) (Wa SAD),ဝိန်းကောင်-ဝအထူးဒေသ (၂),False,False,False,False,False,unmatched_reference_only_no_create
02_District:71,district,update_name,renamed,6361,6329,Kengtung,ကျိုင်းတုံခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:72,district,update_name,renamed,6371,6329,Monghsat,မိုင်းဆတ်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:73,district,update_name,renamed,6391,6329,Tachileik,တာချီလိတ်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:74,district,manual_review,manual_review_remaining,,,Monghpyak,မိုင်းဖြတ်ခရိုင်,False,False,False,False,False,Fuzzy-name candidates are review-only: 6371:မိုင်းဆတ်ခရိုင်:0.842
02_District:75,district,mark_reference_only,extra/reference,,,Mong Pawk (Wa SAD),မိုင်းပေါက်-ဝအထူးဒေသ (၂),False,False,False,False,False,unmatched_reference_only_no_create
02_District:76,district,create_mimu_placeholder,renamed,7363,7279,Pathein,ပုသိမ်ခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:77,district,create_mimu_placeholder,renamed,7155,7279,Hinthada,ဟင်္သာတခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:78,district,create_mimu_placeholder,renamed,7324,7279,Myaungmya,မြောင်းမြခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:79,district,create_mimu_placeholder,renamed,7377,7279,Labutta,လပွတ္တာခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:80,district,create_mimu_placeholder,renamed,7299,7279,Maubin,မအူပင်ခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:81,district,create_mimu_placeholder,renamed,7428,7279,Pyapon,ဖျာပုံခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:82,district,update_name,renamed,6051,6031,Oke Ta Ra,ဥတ္တရခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:83,district,create_mimu_placeholder,renamed,6037,6031,Det Khi Na,ဒက္ခိဏခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
03_Township:80,township,update_name,renamed,6610,6622,Myitkyina,မြစ်ကြီးနား,True,True,False,False,False,matched_preserve_geom
03_Township:87,township,update_name,renamed,6623,6622,Waingmaw,ဝိုင်းမော်,True,True,False,False,False,matched_preserve_geom
03_Township:73,township,update_name,renamed,6668,6622,Injangyang,အင်ဂျန်းယန်,True,True,False,False,False,matched_preserve_geom
03_Township:85,township,update_name_and_parent,reparented,6666,6622,Tanai,တနိုင်း,True,True,True,False,False,matched_preserve_geom
03_Township:71,township,update_name_and_parent,reparented,6690,6622,Chipwi,ချီ​ဖွေ,True,True,True,False,False,matched_preserve_geom
03_Township:86,township,update_name_and_parent,reparented,6688,6622,Tsawlaw,ဆော့လော်,True,True,True,False,False,matched_preserve_geom
03_Township:78,township,update_name,renamed,6601,6659,Mohnyin,မိုးညှင်း,True,True,False,False,False,matched_preserve_geom
03_Township:77,township,update_name,renamed,6660,6659,Mogaung,မိုးကောင်း,True,True,False,False,False,matched_preserve_geom
03_Township:72,township,update_name,renamed,6664,6659,Hpakant,ဖားကန့်,True,True,False,False,False,matched_preserve_geom
03_Township:70,township,update_name,renamed,6612,6594,Bhamo,ဗန်းမော်,True,True,False,False,False,matched_preserve_geom
03_Township:83,township,update_name,renamed,6589,6594,Shwegu,ရွှေကူ,True,True,False,False,False,matched_preserve_geom
