id,public_id,canonical_name,parent_id,parent_name,is_public_usable,verification_status,geometry_source
7323,c245a4d4-9f3f-4b05-a8ef-9328b86530a4,ဝါးခယ်မ,7324,မြောင်းမြခရိုင်,t,verified,
7326,af8b7d53-f2b7-45de-a5cc-f1259bc0924a,အိမ်မဲ,7324,မြောင်းမြခရိုင်,t,verified,
7332,f860b744-d489-43d5-9d64-db893de498c3,ပန်းတနော်,7299,မအူပင်ခရိုင်,t,needs_fix,coremap_manual
7335,6a059dfe-9f09-4ccb-a201-19c9cc7e04f0,မြောင်းမြ,7324,မြောင်းမြခရိုင်,t,verified,
7344,49549148-8465-4f43-b4d1-e2a4501319b4,ကန်ကြီးထောင့်,7363,ပုသိမ်ခရိုင်,t,verified,
7362,e659ac44-0298-4bfe-a48b-560403168733,ပုသိမ်,7363,ပုသိမ်ခရိုင်,t,verified,
7364,2f51dc29-a19c-48ca-89d9-d951dbd8a8f5,ငပုတော,7363,ပုသိမ်ခရိုင်,t,verified,
7374,96c0f1e6-4ed8-4125-91b5-29c9320f6c01,လပွတ္တာ,7377,လပွတ္တာခရိုင်,t,verified,
7375,80e32d07-58e8-49d5-b202-e8810dea971c,ဖျာပုံ,7428,ဖျာပုံခရိုင်,t,verified,
7376,357de554-ea71-462d-b3b0-76b4508b2792,ဘိုကလေး,7428,ဖျာပုံခရိုင်,t,verified,
7392,51773fa5-fde7-4c90-8c7b-b20a7b4c5cf6,မော်လမြိုင်ကျွန်း,7377,လပွတ္တာခရိုင်,t,verified,
7427,7e15f3d3-627f-4733-b020-b6db87e6b3bf,ဒေးဒရဲ,7428,ဖျာပုံခရိုင်,t,verified,
7439,7c5cfd66-d305-441b-9b16-6e4e98a4844f,ကျွန်းစု,7448,မြိတ်ခရိုင်,t,verified,
7440,62cda449-1708-4491-8e4a-7ae7238b7a34,ကိုကိုးကျွန်း,12,ရန်ကုန်(တောင်ပိုင်း),t,verified,
7444,0ddac6e9-b7fb-4d6b-bf8a-57b1aa03a508,ကော့သောင်မြို့နယ်,7438,ကော့သောင်းခရိုင်,t,verified,
7465,88215f2e-f643-4572-a292-4c9b5b1e5a87,မြိတ်,7448,မြိတ်ခရိုင်,t,verified,
7468,08e5c18f-919d-4121-91a2-3d40bf9f71da,တနင်္သာရီ,7448,မြိတ်ခရိုင်,t,verified,
7469,cbb5dfc0-136f-45a0-924e-c7e0147f1518,ပုလော,7448,မြိတ်ခရိုင်,t,verified,
7470,6e588fe0-2d5f-4809-8b82-dac1c7db5a7e,ထားဝယ်,7509,ထားဝယ်ခရိုင်,t,verified,
7471,122269c9-31d6-4b28-b2cb-f6433e09f2d3,သရက်ချောင်း,7509,ထားဝယ်ခရိုင်,t,verified,
7481,7d006710-763d-4f85-9de7-923011443a8b,လောင်းလုံး,7509,ထားဝယ်ခရိုင်,t,verified,
7482,bfec2286-8963-470f-b164-9357b30d4e04,သံဖြူဇရပ်,5099,မော်လမြိုင်ခရိုင်,t,verified,
7491,a0b70b70-f37d-41ff-9957-313535770a62,ရေး,5099,မော်လမြိုင်ခရိုင်,t,verified,
7502,3fa70d2c-1c6b-4fd3-bf26-ac089771f85a,ကြာအင်းဆိပ်ကြီး,5031,ကော့ကရိတ်ခရိုင်,t,verified,
7503,884fab3e-92ce-4c37-ba27-b1ad2bc2f24c,ရေဖြူ,7509,ထားဝယ်ခရိုင်,t,verified,
7524,7f3491b6-d8c4-4539-99b5-c56c9a9412d4,ညောင်တုန်း,7299,မအူပင်ခရိုင်,t,needs_fix,coremap_manual
7525,01ce4309-c29b-4799-b4de-daee84e99ba4,မအူပင်,7299,မအူပင်ခရိုင်,t,needs_fix,coremap_manual
7526,d675f613-6c3b-4bbb-be7c-aba321288cff,မိုင်းလား,6361,ကျိုင်းတုံခရိုင်,t,needs_fix,coremap_manual
