source_key,level,action,outcome,coremap_id,name_en,name_my,notes
_06-VillageTract:10360,ward_village_tract,manual_review,manual_review_remaining,,Myo Ma,မြို့မ,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2004,ward_village_tract,manual_review,manual_review_remaining,,Myo Ma Ward,မြို့မရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2124,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2125,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2126,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2119,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2120,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2121,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_06-VillageTract:9748,ward_village_tract,manual_review,manual_review_remaining,,Hin Naung,ဟင်နောင်,Unresolved duplicate create for same normalized hierarchy path
_06-VillageTract:9749,ward_village_tract,manual_review,manual_review_remaining,,Hin Naung,ဟင်နောင်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1905,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1908,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1903,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1904,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2049,ward_village_tract,manual_review,manual_review_remaining,,Myo Ma Ward,မြို့မရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2048,ward_village_tract,manual_review,manual_review_remaining,,Myo Ma Ward,မြို့မရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2741,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2742,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2743,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2744,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2737,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2738,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2739,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2740,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2733,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2734,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2735,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:2736,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_06-VillageTract:2040,ward_village_tract,manual_review,manual_review_remaining,,Ywar Thit,ရွာသစ်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:340,ward_village_tract,manual_review,manual_review_remaining,,Ywar Thit Ward,ရွာသစ်ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:326,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:327,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:328,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:329,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:330,ward_village_tract,manual_review,manual_review_remaining,,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
