postal_code,source_row_count_en,source_row_count_my,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_pcode,township_admin_area_id,local_pcode,local_admin_area_id,match_status,match_method,candidate_township_pcodes,candidate_local_pcodes,review_reason
0101202,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pa La Na Sa Khan Myar Village Tract,ပလနစခန်းများ ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001003,,township_only,exact_township_name,MMR001001,MMR001001003,
0101203,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nam Kyin Village Tract,နန့်ကျင် ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001004,,township_only,exact_township_name,MMR001001,MMR001001004,
0101204,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nam Kwayt Village Tract,နန်းကွေ့ ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001005,,township_only,exact_township_name,MMR001001,MMR001001005,
0101205,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pam Ma Ti Village Tract,ပမ္မတီး ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001701528,6644,type_conflict,exact_township_name,MMR001001,MMR001001701528,Identity is not proven; do not guess or create geometry
0101206,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Maw Hpawng Village Tract,မော်ဖေါင်း ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001007,,township_only,exact_township_name,MMR001001,MMR001001007,
0101207,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Sha Daung Village Tract,ရှဒေါင် ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001008,,township_only,exact_township_name,MMR001001,MMR001001008,
0101208,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Loi Hkaw Village Tract,လွယ်ခေါ ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001009,,township_only,exact_township_name,MMR001001,MMR001001009,
0101209,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Tang Hpe Village Tract,တန်ဖဲ ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001010,,township_only,exact_township_name,MMR001001,MMR001001010,
0101210,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,In Jit Yang Village Tract,အင်ဂျစ်ယန် ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001011,,township_only,exact_township_name,MMR001001,MMR001001011,
0101211,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Ti Yang Zug Village Tract,တီယန်ဇွပ် ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001012,,township_only,exact_township_name,MMR001001,MMR001001012,
0101212,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Ta Law Gyi Village Tract,တာလောကြီး ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001013,,township_only,exact_township_name,MMR001001,MMR001001013,
0101213,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Hkaung Hpu Ywar Thit Village Tract,ခေါင်ဖူးရွာသစ် ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001014,,township_only,exact_township_name,MMR001001,MMR001001014,
0101214,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Hkaung Hpu Ywar Haung Village Tract,ခေါင်ဖူးရွာဟောင်း ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001015,,township_only,exact_township_name,MMR001001,MMR001001015,
