postal_code,source_row_count_en,source_row_count_my,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_pcode,township_admin_area_id,local_pcode,local_admin_area_id,match_status,match_method,candidate_township_pcodes,candidate_local_pcodes,review_reason
0213200,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Banmauk Township,ဗန်းမောက် မြို့နယ်,Aung Thar Kone Village Tract,အောင်သာကုန်း ကျေးရွာအုပ်စု,village_tract,MMR005023,6702,MMR005023701504,,type_conflict,exact_township_name,MMR005023,MMR005023701504,Identity is not proven; do not guess or create geometry
0226001,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Shwebo Township,ရွှေဘို မြို့နယ်,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR005004,6786,,,ambiguous_local_admin,exact_township_name,MMR005004,MMR005004701501;MMR005004702501,Identity is not proven; do not guess or create geometry
0226002,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Shwebo Township,ရွှေဘို မြို့နယ်,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR005004,6786,,,ambiguous_local_admin,exact_township_name,MMR005004,MMR005004701502;MMR005004702502,Identity is not proven; do not guess or create geometry
0226003,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Shwebo Township,ရွှေဘို မြို့နယ်,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,MMR005004,6786,,,ambiguous_local_admin,exact_township_name,MMR005004,MMR005004701503;MMR005004702503,Identity is not proven; do not guess or create geometry
0226004,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Shwebo Township,ရွှေဘို မြို့နယ်,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,ward,MMR005004,6786,,,ambiguous_local_admin,exact_township_name,MMR005004,MMR005004701504;MMR005004702504,Identity is not proven; do not guess or create geometry
0226253,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Shwebo Township,ရွှေဘို မြို့နယ်,Tei Pin Village Tract,တယ်ပင် ကျေးရွာအုပ်စု,village_tract,MMR005004,6786,,,ambiguous_local_admin,exact_township_name,MMR005004,MMR005004054;MMR005004073,Identity is not proven; do not guess or create geometry
0226272,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Shwebo Township,ရွှေဘို မြို့နယ်,Tei Pin Village Tract,တည်ပင် ကျေးရွာအုပ်စု,village_tract,MMR005004,6786,,,ambiguous_local_admin,exact_township_name,MMR005004,MMR005004054;MMR005004073,Identity is not proven; do not guess or create geometry
0261001,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Don Hee Town Town,ဒုံဟီး မြို့,Myo Ma Quarter,မြို့မ ရပ်ကွက်,ward,MMR005037,6674,,,ambiguous_local_admin,exact_town_to_parent_township,MMR005037,MMR005037701502;MMR005037703501,Identity is not proven; do not guess or create geometry
0263001,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Mo Paing Lut Town,မိုပိုင်းလွတ် မြို့,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,,,,,ambiguous,,,,Identity is not proven; do not guess or create geometry
0263002,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Mo Paing Lut Town,မိုပိုင်းလွတ် မြို့,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,,,,,ambiguous,,,,Identity is not proven; do not guess or create geometry
