postal_code,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_admin_area_id,local_admin_area_id,match_status,match_method,review_reason
0115002,Kachin State,ကချင်ပြည်နယ်,Momauk Township,မိုးမောက် မြို့နယ်,Ah Lin Kawng Quarter,အလင်းကောင် ရပ်ကွက်,ward,6593,6608,linked_local_area,exact_local_under_township,Unique local admin under matched township
0115003,Kachin State,ကချင်ပြည်နယ်,Momauk Township,မိုးမောက် မြို့နယ်,Kyay Nan Waing Quarter,ကျေးနန်းဝိုင်း ရပ်ကွက်,ward,6593,6611,linked_local_area,exact_local_under_township,Unique local admin under matched township
0163001,Kachin State,ကချင်ပြည်နယ်,Sadung Town,ဆဒုံး မြို့,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,6623,6632,linked_local_area,exact_local_under_township,Unique local admin under matched township
0163002,Kachin State,ကချင်ပြည်နယ်,Sadung Town,ဆဒုံး မြို့,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,6623,6629,linked_local_area,exact_local_under_township,Unique local admin under matched township
0163003,Kachin State,ကချင်ပြည်နယ်,Sadung Town,ဆဒုံး မြို့,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,6623,6627,linked_local_area,exact_local_under_township,Unique local admin under matched township
0163004,Kachin State,ကချင်ပြည်နယ်,Sadung Town,ဆဒုံး မြို့,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,ward,6623,6626,linked_local_area,exact_local_under_township,Unique local admin under matched township
0163005,Kachin State,ကချင်ပြည်နယ်,Sadung Town,ဆဒုံး မြို့,No (5) Quarter,အမှတ် (၅) ရပ်ကွက်,ward,6623,6625,linked_local_area,exact_local_under_township,Unique local admin under matched township
0164001,Kachin State,ကချင်ပြည်နယ်,Kan Paik Ti Town,ကန်ပိုက်တီ မြို့,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,6623,6632,linked_local_area,exact_local_under_township,Unique local admin under matched township
0164002,Kachin State,ကချင်ပြည်နယ်,Kan Paik Ti Town,ကန်ပိုက်တီ မြို့,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,6623,6629,linked_local_area,exact_local_under_township,Unique local admin under matched township
0164003,Kachin State,ကချင်ပြည်နယ်,Kan Paik Ti Town,ကန်ပိုက်တီ မြို့,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,6623,6627,linked_local_area,exact_local_under_township,Unique local admin under matched township
0166002,Kachin State,ကချင်ပြည်နယ်,Nammatee Town,နမ္မတီး မြို့,Myo U Quarter,မြို့ဦး ရပ်ကွက်,ward,6660,6663,linked_local_area,exact_local_under_township,Unique local admin under matched township
0204001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Lay Shi Township,လေရှီး မြို့နယ်,Myo Ma Quarter,မြို့မ ရပ်ကွက်,ward,6699,6697,linked_local_area,exact_local_under_township,Unique local admin under matched township
0204002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Lay Shi Township,လေရှီး မြို့နယ်,Ah Hmu Htan Quarter,အမှုထမ်း ရပ်ကွက်,ward,6699,6698,linked_local_area,exact_local_under_township,Unique local admin under matched township
0205001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Homalin Township,ဟုမ္မလင်း မြို့နယ်,Homalin Quarter,ဟုမ္မလင်း ရပ်ကွက်,ward,6701,6733,linked_local_area,exact_local_under_township,Unique local admin under matched township
0205002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Homalin Township,ဟုမ္မလင်း မြို့နယ်,Naung Pa Kyit Quarter,နောင်ပကျစ် ရပ်ကွက်,ward,6701,6732,linked_local_area,exact_local_under_township,Unique local admin under matched township
