source_key,entity_type,source_name_mm,source_name_en,source_parent,source_geometry_preview_path,candidate_core_ids,candidate_names,candidate_parents,candidate_types,name_evidence,overlap_percent,distance_m,dependency_counts,recommended_action,review_decision,selected_core_id,review_note
ward:MMR018007701506:row1576:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အမှတ် (၆) ရပ်ကွက်,No (6) Ward,Nay Pyi Taw > Det Khi Na > Lewe > Lewe Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR018007701506_row1576_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5989,ရွှေအင်ကြင်းရပ်ကွက်,လယ်ဝေး,ward,no_exact_name,0.0,1601.7,5989:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=58|area_m2=5596152|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR005011701503:row1589:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,မဟာမြိုင်ရပ်ကွက်,Ma Har Myaing Ward,Sagaing > Shwebo > Taze > Taze Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR005011701503_row1589_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,6794;6797,မဟာမြိုင်ရပ်ကွက် | မဟာမြိုင်ရပ်ကွက်,တန့်ဆည် | တန့်ဆည်,ward | ward,exact_my+en,0.0;100.0,694.9;0.0,6794:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=172|area_m2=1622179|verification=unverified} || 6797:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=134|area_m2=804806|verification=unverified},merge_duplicate_candidate,,6794,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=6794 by verification/official/deps/geometry (deps=2, npoints=172)"
ward:MMR005011701503:row1611:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,မဟာမြိုင်ရပ်ကွက်,Ma Har Myaing Ward,Sagaing > Shwebo > Taze > Taze Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR005011701503_row1611_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,6794;6797,မဟာမြိုင်ရပ်ကွက် | မဟာမြိုင်ရပ်ကွက်,တန့်ဆည် | တန့်ဆည်,ward | ward,exact_my+en,100.0;0.0,0.0;694.9,6794:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=172|area_m2=1622179|verification=unverified} || 6797:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=134|area_m2=804806|verification=unverified},merge_duplicate_candidate,,6794,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=6794 by verification/official/deps/geometry (deps=2, npoints=172)"
ward:MMR018007701504:row1672:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အမှတ် (၄) ရပ်ကွက်,No (4) Ward,Nay Pyi Taw > Det Khi Na > Lewe > Lewe Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR018007701504_row1672_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5989,ရွှေအင်ကြင်းရပ်ကွက်,လယ်ဝေး,ward,no_exact_name,0.0,2417.8,5989:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=58|area_m2=5596152|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR018007701505:row1674:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အမှတ် (၅) ရပ်ကွက်,No (5) Ward,Nay Pyi Taw > Det Khi Na > Lewe > Lewe Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR018007701505_row1674_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5989,ရွှေအင်ကြင်းရပ်ကွက်,လယ်ဝေး,ward,no_exact_name,0.0,2385.6,5989:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=58|area_m2=5596152|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR018007701502:row1675:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အမှတ် (၂) ရပ်ကွက်,No (2) Ward,Nay Pyi Taw > Det Khi Na > Lewe > Lewe Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR018007701502_row1675_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5989,ရွှေအင်ကြင်းရပ်ကွက်,လယ်ဝေး,ward,no_exact_name,0.0,2498.4,5989:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=58|area_m2=5596152|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR018007701503:row1676:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အမှတ် (၃) ရပ်ကွက်,No (3) Ward,Nay Pyi Taw > Det Khi Na > Lewe > Lewe Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR018007701503_row1676_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5989,ရွှေအင်ကြင်းရပ်ကွက်,လယ်ဝေး,ward,no_exact_name,0.0,1624.4,5989:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=58|area_m2=5596152|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR013029701504:row1840:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,တောင်ဘက်ပိုင်းရပ်ကွက်,Taung Bet Paing Ward,Yangon > Yangon (South) > Kungyangon > Kungyangon Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR013029701504_row1840_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5113;5119,တောင်ဘက်ပိုင်းရပ်ကွက် | တောင်ဘက်ပိုင်းရပ်ကွက်,ကွမ်းခြံကုန်း | ကွမ်းခြံကုန်း,ward | ward,exact_my+en,0.0;100.0,1085.8;0.0,5113:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=76|area_m2=442879|verification=unverified} || 5119:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=163|area_m2=884726|verification=unverified},merge_duplicate_candidate,,5119,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=5119 by verification/official/deps/geometry (deps=2, npoints=163)"
ward:MMR013029701504:row1841:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,တောင်ဘက်ပိုင်းရပ်ကွက်,Taung Bet Paing Ward,Yangon > Yangon (South) > Kungyangon > Kungyangon Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR013029701504_row1841_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5113;5119,တောင်ဘက်ပိုင်းရပ်ကွက် | တောင်ဘက်ပိုင်းရပ်ကွက်,ကွမ်းခြံကုန်း | ကွမ်းခြံကုန်း,ward | ward,exact_my+en,100.0;0.0,0.0;1085.8,5113:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=76|area_m2=442879|verification=unverified} || 5119:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=163|area_m2=884726|verification=unverified},merge_duplicate_candidate,,5119,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=5119 by verification/official/deps/geometry (deps=2, npoints=163)"
ward:MMR010005701502:row1912:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,ငွေတော်ကြည်ကုန်းရပ်ကွက်,Ngwe Taw Kyi Kone Ward,Mandalay > Mandalay > Pyigyitagon > Pyigyitagon Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR010005701502_row1912_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,6211;6212,ငွေတော်ကြည်ကုန်းရပ်ကွက် | ငွေတော်ကြည်ကုန်းရပ်ကွက်,ပြည်ကြီးတံခွန် | ပြည်ကြီးတံခွန်,ward | ward,exact_my+en,100.0;100.0,0.0;0.0,6211:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=87|area_m2=3200360|verification=unverified} || 6212:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=87|area_m2=3200360|verification=unverified},merge_duplicate_candidate,,6211,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=6211 by verification/official/deps/geometry (deps=2, npoints=87)"
