source_key,entity_type,source_name_mm,source_name_en,source_parent,source_geometry_preview_path,candidate_core_ids,candidate_names,candidate_parents,candidate_types,name_evidence,overlap_percent,distance_m,dependency_counts,recommended_action,review_decision,selected_core_id,review_note
village:180283:row697:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,တံခွန်တိုင်,Ta Khun Taing,Bago (East) > Taungoo > Kyaukkyi > Nat Than Kwin,reports/admin-reconciliation-v2/phase3-previews/village_180283_row697_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,136209,ဝက်တူး [Wet Tu / ဝက်တူး],ကျောက်ကြီး,village,no_exact_name,,38.6,136209:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},manual_review,,,Spatial-only settlement candidate blocked (do not merge by distance alone)
village:180335:row718:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,ကြက်တက်ညောင်ပင်,Kyet Tet Nyaung Pin,Bago (East) > Taungoo > Kyaukkyi > Nyaung Pin Thar,reports/admin-reconciliation-v2/phase3-previews/village_180335_row718_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,136187,နှောတော [Hnaw Taw / နှောတော],ကျောက်ကြီး,village,no_exact_name,,1429.5,136187:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},manual_review,,,Spatial-only settlement candidate blocked (do not merge by distance alone)
village:179123:row800:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,ဟာရီကျန်,Har Ri Kyan,Bago (East) > Bago > Kyauktaga > Ga Net,reports/admin-reconciliation-v2/phase3-previews/village_179123_row800_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,138051,ဘာဆာဝန် [Bar Sar Wun / ဘာဆာဝန်],ကျောက်တံခါး,village,no_exact_name,,790.6,138051:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},manual_review,,,Spatial-only settlement candidate blocked (do not merge by distance alone)
village:220106:row802:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,ကျန်စစ်သား,Kyan Sit Thar,Bago (East) > Bago > Kyauktaga > Ga Net,reports/admin-reconciliation-v2/phase3-previews/village_220106_row802_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,148547,ကွင်းနောက် ရပ်ကွက် [Kwin (West) Ward / ကွင်းနောက် ရပ်ကွက်],ကျောက်တံခါး,local_area,no_exact_name,,1201.9,148547:{has_point=1|verification=unverified|is_verified=f|type=local_area|fk_inbound=0},manual_review,,,Spatial-only settlement candidate blocked (do not merge by distance alone)
village:179135:row821:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,ဘာဘူကုန်း,Bar Bu Kone,Bago (East) > Bago > Kyauktaga > Har Ree,reports/admin-reconciliation-v2/phase3-previews/village_179135_row821_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,137988,သူဌေးကုန်း [Thu Htay Kone / သူဌေးကုန်း],ကျောက်တံခါး,village,no_exact_name,,1093.7,137988:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},manual_review,,,Spatial-only settlement candidate blocked (do not merge by distance alone)
village:179088:row845:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,လွှစင်ကြီး,Hlwa Sin Gyi,Bago (East) > Bago > Kyauktaga > Kan Ka Lay,reports/admin-reconciliation-v2/phase3-previews/village_179088_row845_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,137943,ကံကလေး [Kan Ka Lay / ကံကလေး],ကျောက်တံခါး,village,no_exact_name,,1347.4,137943:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},manual_review,,,Spatial-only settlement candidate blocked (do not merge by distance alone)
village:179236:row882:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,ပေကုန်း,Pay Kone,Bago (East) > Bago > Kyauktaga > Kone Lel Yoe,reports/admin-reconciliation-v2/phase3-previews/village_179236_row882_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,138083,မျက်နီကွင်း [Myet Ni Kwin / မျက်နီကွင်း],ကျောက်တံခါး,village,no_exact_name,,1225.2,138083:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},manual_review,,,Spatial-only settlement candidate blocked (do not merge by distance alone)
village:220102:row887:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,သာယာကုန်း,Thar Yar Kone,Bago (East) > Bago > Kyauktaga > Kyar Inn Kone,reports/admin-reconciliation-v2/phase3-previews/village_220102_row887_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,137989;138023,သာယာကုန်း [Thar Yar Kone / သာယာကုန်း] | သာယာကုန်း [Thar Yar Kone / သာယာကုန်း],ကျောက်တံခါး | ကျောက်တံခါး,village | village,exact_normalized_my,,39421.1;32639.0,137989:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 138023:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,137989,Multiple CoreMap settlements share exact normalized name under township | prefer id=137989 by verification/point/names (preserve survivor point)
village:220103:row888:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,ရွာသစ်ကုန်း,Ywar Thit Kone,Bago (East) > Bago > Kyauktaga > Kyar Inn Kone,reports/admin-reconciliation-v2/phase3-previews/village_220103_row888_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,137959,ကြာအင်းကုန်း [Kyar Inn Kone / ကြာအင်းကုန်း],ကျောက်တံခါး,village,no_exact_name,,1350.0,137959:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},manual_review,,,Spatial-only settlement candidate blocked (do not merge by distance alone)
village:179036:row891:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,ကင်မွန်းချုံ,Kin Mun Chon,Bago (East) > Bago > Kyauktaga > Kyaung Soe,reports/admin-reconciliation-v2/phase3-previews/village_179036_row891_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,135856;138027,ကင်မွန်းခြုံ [Kin Mun Chon / ကင်မွန်းခြုံ] | ကင်မွန်းချုံ [Kin Mun Chon / ကင်မွန်းချုံ],ကျောက်တံခါး | ကျောက်တံခါး,village | village,"exact_normalized_en,exact_normalized_my",,217.3;0.0,135856:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 138027:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,135856,Multiple CoreMap settlements share exact normalized name under township | prefer id=135856 by verification/point/names (preserve survivor point)
