postal_code,action,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,inferred_locality_type,matched_township_coremap_id,matched_local_coremap_id,match_method,confidence,source_row_count_en,source_row_count_my,duplicate_extra_source_rows,review_reason
0101205,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pam Ma Ti Village Tract,ပမ္မတီး ကျေးရွာအုပ်စု,village_tract,6610,6644,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101206,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Maw Hpawng Village Tract,မော်ဖေါင်း ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101207,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Sha Daung Village Tract,ရှဒေါင် ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101208,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Loi Hkaw Village Tract,လွယ်ခေါ ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101209,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Tang Hpe Village Tract,တန်ဖဲ ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101210,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,In Jit Yang Village Tract,အင်ဂျစ်ယန် ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101211,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Ti Yang Zug Village Tract,တီယန်ဇွပ် ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101212,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Ta Law Gyi Village Tract,တာလောကြီး ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101213,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Hkaung Hpu Ywar Thit Village Tract,ခေါင်ဖူးရွာသစ် ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101214,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Hkaung Hpu Ywar Haung Village Tract,ခေါင်ဖူးရွာဟောင်း ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101215,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Ho Kat Village Tract,ဟိုကပ် ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101216,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,San Kin Village Tract,စံကင်း ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101217,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Ah Kye Village Tract,အကြဲ ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101218,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Myin Thar Village Tract,မြင်သာ ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101219,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Yae Nar Pin Lon Village Tract,ရေနားပင်လုံ ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101220,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pin Taw Village Tract,ပင်တော် ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101221,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Taw Pin Lon Village Tract,တောပင်လုံ ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101222,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Man Kin Village Tract,မံကင်း ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101223,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Wea Gyi Village Tract,ဝဲကြီး ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101224,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nawng Pwe Village Tract,နောင်ပွဲ ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101225,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nei Char Village Tract,နယ်ခြား ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101226,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Man Hpwar Village Tract,မံဖွား ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
