coremap_id,hierarchy_level,admin_area_type,canonical_name,coremap_path,parent_id,classification,action,preserve_existing_geom,review_reason,point_x,point_y,geom_md5
6385,township,township,မိုင်းတုံမြို့နယ်,country:11:မြန်မာ > state_region:6378:ဝပြည်နယ် တောင်ပိုင်း > district:6384:မိုင်းတုံခရိုင် > township:6385:မိုင်းတုံမြို့နယ်,6384,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.9358965668511,20.23275115,3b2e97f7b6dea1b0e2e060646f5bf89c
6399,township,township,တုံချိန်မြို့နယ်,country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ် > district:6411:ကိုးကန့် > township:6399:တုံချိန်မြို့နယ်,6411,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.8061436183123,23.6864487,972bf124e93b307f63f5a9facca22020
6408,township,township,မိုင်းယောင်းမြို့နယ် (အမှန်တကယ်),country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ် > district:6409:မိုင်းယောင်းခရိုင် > township:6408:မိုင်းယောင်းမြို့နယ် (အမှန်တကယ်),6409,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,100.562328133327,21.3701558474087,e36966956b54e10f9529fd1291651e17
6412,township,township,ရှင်းဝမ်မြို့နယ်,country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ် > district:6411:ကိုးကန့် > township:6412:ရှင်းဝမ်မြို့နယ်,6411,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.5078120353828,23.9043668325812,5e5695728a6566b24e226077fae7c083
6414,township,township,တာမိုးညဲမြို့နယ်,country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ် > district:6598:ကွတ်ခိုင်ခရိုင် > township:6414:တာမိုးညဲမြို့နယ်,6598,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.2733581558239,23.7313910079581,0f6dd369a7cecf7fcadf39475815dc25
6416,township,township,တုန်းရှမ်းမြို့နယ်,country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ် > district:6411:ကိုးကန့် > township:6416:တုန်းရှမ်းမြို့နယ်,6411,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.7286807333186,23.5610159839368,56fffc068d176800db02c3546850c7fb
6419,township,township,ကျင့်ရှမ်းချိန်မြို့နယ်,country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ် > district:6411:ကိုးကန့် > township:6419:ကျင့်ရှမ်းချိန်မြို့နယ်,6411,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.7916620229958,23.7336346,98c2dae89f1aaf92774e766814d1c4ba
6429,township,township,ဟိုပန်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6447:ဟိုပန်ခရိုင် > township:6429:ဟိုပန်မြို့နယ်,6447,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.7520019997413,23.39219915,34aecc17a083bb4f8be11821e7d798d9
6430,township,township,နမ့်တစ်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6447:ဟိုပန်ခရိုင် > township:6430:နမ့်တစ်မြို့နယ်,6447,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.8759726982264,23.3065918,bca6ddd7bf76ff7ce7dd6fbb7d7a9fc4
6432,township,township,ပန်လုံမြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6447:ဟိုပန်ခရိုင် > township:6432:ပန်လုံမြို့နယ်,6447,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.7716811309624,23.2596614,7fdcd9d570634dec3da15c79792b0adf
6434,township,township,ကန်မိန်းမြို့နယ်,country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ် > district:6444:မူပန်ခရိုင် > township:6434:ကန်မိန်းမြို့နယ်,6444,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.514334593968,23.33440285,dc1655ee872513f8f264717b206e0807
6443,township,township,မိုင်ယော်မြို့နယ်,country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ် > district:6444:မူပန်ခရိုင် > township:6443:မိုင်ယော်မြို့နယ်,6444,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.2186297376373,23.09066745,7e12e84ffe70df2f09797abcbdc2db15
6445,township,township,မန်မတ်မြို့နယ်,country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ် > district:6444:မူပန်ခရိုင် > township:6445:မန်မတ်မြို့နယ်,6444,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.3751803809539,23.04628775,42ddee60c2cc6f1bfea7081309e9fad8
6446,township,township,နာဝီးမြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6447:ဟိုပန်ခရိုင် > township:6446:နာဝီးမြို့နယ်,6447,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.679829570656,23.09238535,22f78b02801b696c5401205de7405d8e
6448,township,township,ပန်ဝိုင်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6447:ဟိုပန်ခရိုင် > township:6448:ပန်ဝိုင်မြို့နယ်,6447,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.0947029099172,23.0863955,815fa80ebccc228375bcc0cf19af5972
6450,township,township,ခွန်းမားမြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6452:မိုင်းမော > township:6450:ခွန်းမားမြို့နယ်,6452,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.4591540174852,22.994535,1fe127a784aff9e5210c41792f7e32e3
6451,township,township,ယောင်လင်းမြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6452:မိုင်းမော > township:6451:ယောင်လင်းမြို့နယ်,6452,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.2487584071446,22.9324504,2d1b4e2e1e9ba36d5fe3ff87dddb4e68
6453,township,township,အိုက်ချိန်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6474:မက်မန်းခရိုင် > township:6453:အိုက်ချိန်မြို့နယ်,6474,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.1663578569795,22.79898505,2d1b311b2b6b2f28b343fa5ac2b4e94f
6454,township,township,လုံထန်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6474:မက်မန်းခရိုင် > township:6454:လုံထန်မြို့နယ်,6474,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.3547657250934,22.84040365,be28d2af0bd5f72be2a1326501f00f05
6456,township,township,ရင်ဖန့်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6474:မက်မန်းခရိုင် > township:6456:ရင်ဖန့်မြို့နယ်,6474,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.1856716179591,22.6196687680154,7b6351ba1ad46b642fe10926ed459beb
6460,township,township,ဟိုတောင်းမြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6335:မိုင်းပေါက်ခရိုင် > township:6460:ဟိုတောင်းမြို့နယ်,6335,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.5322531445857,22.0025765,c05a596c1d0ca1bb6fe26f4dd0491c5f
6466,township,township,မိုင်းပေါက်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6335:မိုင်းပေါက်ခရိုင် > township:6466:မိုင်းပေါက်မြို့နယ်,6335,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.3609879048822,22.016889,732ad356456408fb29ac958cf5dc7a7c
6468,township,township,လျင်ဟိုမြို့နယ်,country:11:မြန်မာ > state_region:6329:ရှမ်းပြည်နယ် > district:6444:မူပန်ခရိုင် > township:6468:လျင်ဟိုမြို့နယ်,6444,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,97.8868579698707,22.9104796,188c603c5a1d857e512faded4b29b86a
6469,township,township,ပန်ခမ်းအထူးမြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6474:မက်မန်းခရိုင် > township:6469:ပန်ခမ်းအထူးမြို့နယ်,6474,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.1313844261781,22.2593333,601526c316557d1ddcedb7ed680b70fb
6470,township,township,နော်ခမ်းဦးမြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6471:မိုင်းလင်းခရိုင် > township:6470:နော်ခမ်းဦးမြို့နယ်,6471,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.1782663442935,22.4490604,77a40d0a81bcd765e0e8393631802d80
6472,township,township,နောင်ခစ်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6471:မိုင်းလင်းခရိုင် > township:6472:နောင်ခစ်မြို့နယ်,6471,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.967382885709,22.39808745,412cdf9f430431b97fbbc2aa149cade8
6473,township,township,နားကောင်းမြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6471:မိုင်းလင်းခရိုင် > township:6473:နားကောင်းမြို့နယ်,6471,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.7247048031146,22.33448205,9344e32fe7f5e9806d72a5e1adc53db7
6484,township,township,မန်မန်ဆိုင်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6471:မိုင်းလင်းခရိုင် > township:6484:မန်မန်ဆိုင်မြို့နယ်,6471,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.63778988735,22.60257435,3d0ef29020ae1e0e7991738c3e191efa
6486,township,township,လင်ဟော်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6474:မက်မန်းခရိုင် > township:6486:လင်ဟော်မြို့နယ်,6474,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.8749318274822,22.74354355,e8e47250ef36e5b7ca6d200b607e8dfc
