duplicate_kind,source_key,source_level,source_name_en,source_name_my,parent_path,coremap_ids,review_reason
repeated_create_same_normalized_path,_05_Ward:1086;_05_Ward:1090,ward_village_tract,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D002:Minbu > township:MMR009007:Minbu > ward_village_tract:MMR009007701501:No (1) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1087;_05_Ward:1091,ward_village_tract,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D002:Minbu > township:MMR009007:Minbu > ward_village_tract:MMR009007701502:No (2) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1088;_05_Ward:1092,ward_village_tract,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D002:Minbu > township:MMR009007:Minbu > ward_village_tract:MMR009007701503:No (3) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1140;_05_Ward:1120;_05_Ward:1132,ward_village_tract,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701501:No (1) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1147;_05_Ward:1124;_05_Ward:1133,ward_village_tract,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701502:No (2) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1148;_05_Ward:1125;_05_Ward:1134,ward_village_tract,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701503:No (3) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1149;_05_Ward:1126;_05_Ward:1135,ward_village_tract,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701504:No (4) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1150;_05_Ward:1127;_05_Ward:1136,ward_village_tract,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701505:No (5) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1151;_05_Ward:1128;_05_Ward:1137,ward_village_tract,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701506:No (6) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1152;_05_Ward:1129;_05_Ward:1138,ward_village_tract,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701507:No (7) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1153;_05_Ward:1130;_05_Ward:1139,ward_village_tract,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701508:No (8) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1154;_05_Ward:1131,ward_village_tract,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701509:No (9) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1141;_05_Ward:1121,ward_village_tract,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701510:No (10) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1142;_05_Ward:1122,ward_village_tract,No (11) Ward,အမှတ် (၁၁) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701511:No (11) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1143;_05_Ward:1123,ward_village_tract,No (12) Ward,အမှတ် (၁၂) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009018:Pakokku > ward_village_tract:MMR009018701512:No (12) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:6446;_06-VillageTract:6447,ward_village_tract,Myay Hpyu,မြေဖြူ,state_region:MMR009:Magway > district:MMR009D004:Pakokku > township:MMR009019:Yesagyo > ward_village_tract:MMR009019033:Myay Hpyu,,Repeated create_mimu_placeholder for same normalized hierarchy path
