source_ts_pcode,source_ts_name,source_st_pcode,source_st_name,source_dt_pcode,source_dt_name,boundary_count,village_count,status,core_township_id,core_public_id,core_canonical_name,match_method,candidate_coremap_ids,evidence,review_reason
MMR017002,Kangyidaunt,MMR017,Ayeyarwady,MMR017D001,Pathein,81,338,mapped,7344,49549148-8465-4f43-b4d1-e2a4501319b4,ကန်ကြီးထောင့်,name,7344,exact_normalized_en=[7344]|spatial_support=7344:1.00;7326:0.14;7335:0.06;7186:0.01;7362:0.01,
MMR017003,Thabaung,MMR017,Ayeyarwady,MMR017D001,Pathein,70,343,mapped,7186,57660ae1-9f7c-4c08-a4fe-33aa56abe364,သာပေါင်း,name,7186,exact_normalized_en=[7186]|spatial_support=7186:1.00;7187:0.07;7344:0.04;7362:0.04;7286:0.01,
MMR017004,Ngapudaw,MMR017,Ayeyarwady,MMR017D001,Pathein,87,371,mapped,7364,2f51dc29-a19c-48ca-89d9-d951dbd8a8f5,ငပုတော,name,7364,exact_normalized_en=[7364]|spatial_support=7364:1.00;7335:0.02,
MMR017005,Kyonpyaw,MMR017,Ayeyarwady,MMR017D001,Pathein,95,490,mapped,7282,7c7a5171-9546-4ae7-b409-7b184514b5c8,ကျုံပျော်,name,7282,exact_normalized_en=[7282]|spatial_support=7282:1.00;7286:0.07;7295:0.05;7187:0.03;7332:0.03,
MMR017006,Yegyi,MMR017,Ayeyarwady,MMR017D001,Pathein,107,443,mapped,7187,938a79c1-c5f0-4a7a-9f2a-120dff8c8750,ရေကြည်,name,7187,exact_normalized_en=[7187]|spatial_support=7187:1.00;7282:0.10;7194:0.07;7286:0.04;7186:0.02,
MMR017007,Kyaunggon,MMR017,Ayeyarwady,MMR017D001,Pathein,66,352,mapped,7286,fc5fb99f-0ec5-41d1-b5b0-064196e6385f,ကျောင်းကုန်း,name,7286,exact_normalized_en=[7286]|spatial_support=7286:1.00;7332:0.11;7326:0.06;7282:0.04;7344:0.01,
MMR017008,Hinthada,MMR017,Ayeyarwady,MMR017D002,Hinthada,130,709,mapped,7208,c40f3356-d1bc-4113-92bd-c77e20f02dcd,ဟင်္သာတ,name,7208,exact_normalized_en=[7208]|spatial_support=7208:1.00;7259:0.10;7215:0.03;7282:0.01;7194:0.01,
MMR017009,Zalun,MMR017,Ayeyarwady,MMR017D002,Hinthada,72,442,mapped,7259,9d3a5b63-0902-4dcd-aa02-ddc3480fb3b5,ဇလွန်,name,7259,exact_normalized_en=[7259]|spatial_support=7259:1.00;7208:0.13;7295:0.12;7282:0.04;7232:0.01,
MMR017010,Lemyethna,MMR017,Ayeyarwady,MMR017D002,Hinthada,50,244,mapped,7194,79a3fb1a-6ac3-4c58-bbe4-60bd582180c8,လေးမျက်နှာ,name,7194,exact_normalized_en=[7194]|spatial_support=7194:1.00;7208:0.10;7187:0.04;7215:0.04;7282:0.04,
MMR017011,Myanaung,MMR017,Ayeyarwady,MMR017D002,Hinthada,67,461,mapped,6767,6df41163-6032-4152-83bf-9f3f960eef7b,မြန်အောင်,name,6767,exact_normalized_en=[6767]|spatial_support=6767:1.00;7171:0.10;7172:0.04;7215:0.04,
MMR017012,Kyangin,MMR017,Ayeyarwady,MMR017D002,Hinthada,40,242,mapped,7172,9363484c-e4e5-45c6-b029-4d5caca66af0,ကြံခင်း,name,7172,exact_normalized_en=[7172]|spatial_support=7172:1.00;6767:0.12;7151:0.04,
MMR017013,Ingapu,MMR017,Ayeyarwady,MMR017D002,Hinthada,79,584,mapped,7215,3df6f30f-b6a6-4180-9d69-681c02c7653e,အင်္ဂပူ,name,7215,exact_normalized_en=[7215]|spatial_support=7215:1.00;6767:0.06;7194:0.06;7208:0.04;7171:0.01,
MMR017014,Myaungmya,MMR017,Ayeyarwady,MMR017D003,Myaungmya,99,481,mapped,7335,6a059dfe-9f09-4ccb-a201-19c9cc7e04f0,မြောင်းမြ,name,7335,exact_normalized_en=[7335]|spatial_support=7335:1.00;7344:0.08;7326:0.07;7323:0.06,
