source_key,source_row_number,source_sheet,hierarchy_level,source_subtype,source_official,source_gad_status,source_name_en,source_name_my,source_parent_path,matched_coremap_id,existing_coremap_path,existing_canonical_name,existing_parent_id,target_parent_coremap_id,target_parent_path,action,confidence,name_evidence,hierarchy_evidence,spatial_evidence,preserve_existing_geom,manual_review_reason,review_notes,candidate_coremap_ids,mimu_comparison_geometry_available,audit_only_source_pcode,audit_only_parent_pcode
_06-VillageTract:8790,8790,_06-VillageTract,ward_village_tract,village_tract,True,Active,Kat Pa Kaung,ကပ္ပကောင်း,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009031:Kat Pa Kaung,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009031,MMR012009
_06-VillageTract:8815,8815,_06-VillageTract,ward_village_tract,village_tract,True,Active,Myo Thit,မြို့သစ်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009032:Myo Thit,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009032,MMR012009
_06-VillageTract:8856,8856,_06-VillageTract,ward_village_tract,village_tract,True,Active,Yae Myet Taung,ရေမျက်တောင်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009033:Yae Myet Taung,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009033,MMR012009
_06-VillageTract:8820,8820,_06-VillageTract,ward_village_tract,village_tract,True,Active,Nga Khu Ya,ငါးခူရ,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009034:Nga Khu Ya,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009034,MMR012009
_06-VillageTract:8775,8775,_06-VillageTract,ward_village_tract,village_tract,True,Active,Chan Pyin,ခြံပြင်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009035:Chan Pyin,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009035,MMR012009
_06-VillageTract:8858,8858,_06-VillageTract,ward_village_tract,village_tract,True,Active,Yae Twin Kyun,ရေတွင်းကျွန်း,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009036:Yae Twin Kyun,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009036,MMR012009
_06-VillageTract:8862,8862,_06-VillageTract,ward_village_tract,village_tract,True,Active,Ywet Nyo Taung,ရွက်ညိုတောင်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009037:Ywet Nyo Taung,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009037,MMR012009
_06-VillageTract:8852,8852,_06-VillageTract,ward_village_tract,village_tract,True,Active,U Shey Kya,ဦးရှည်ကျ,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009038:U Shey Kya,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009038,MMR012009
_06-VillageTract:8830,8830,_06-VillageTract,ward_village_tract,village_tract,True,Active,Pwint Hpyu Chaung,ပွင့်ဖြူချောင်း,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009039:Pwint Hpyu Chaung,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009039,MMR012009
_06-VillageTract:8793,8793,_06-VillageTract,ward_village_tract,village_tract,True,Active,Kyar Gaung Taung,ကျားခေါင်းတောင်,state_region:MMR012:Rakhine > district:MMR012D002:Maungdaw > township:MMR012009:Maungdaw > ward_village_tract:MMR012009040:Kyar Gaung Taung,,,,,6966,country:11:မြန်မာ > state_region:6722:ရခိုင်ပြည်နယ် > district:6967:မောင်တောခရိုင် > township:6966:မောင်တောမြို့နယ်,create_mimu_placeholder,100,no_exact_match,strict_parent_core=6966;strict_candidate_pool=6,no_mimu_comparison_geometry,False,,No unique CoreMap match under matched hierarchy; create placeholder without durable production geometry yet,,False,MMR012009040,MMR012009
