coremap_id,public_id,canonical_name,settlement_type,township_id,name_en,name_mm,lon,lat,reason
158785,abf564a3-b47b-4476-8202-3af74a12d47b,ဝၢၼ်ႈၵၢင်တူင်ႈ,village,6362,,ဝၢၼ်ႈၵၢင်တူင်ႈ,97.87857880,20.51475460,No MIMU village source matched this CoreMap settlement under an approved township
158786,ee77c189-a6e4-479b-bb95-e673f863ebd2,ဝၢၼ်ႈသႆၢးၽေႇ,village,6362,,ဝၢၼ်ႈသႆၢးၽေႇ,97.90894390,20.52840630,No MIMU village source matched this CoreMap settlement under an approved township
158787,6c83abfe-63c0-4f46-820a-67672335b3d9,ဝၢၼ်ႈမႂ်ႇလူင်ၸၢမ်,village,6362,,ဝၢၼ်ႈမႂ်ႇလူင်ၸၢမ်,97.92268980,20.51934340,No MIMU village source matched this CoreMap settlement under an approved township
158788,ab5db7ed-188a-419f-b170-3318106ef5ad,Lallim,village,6726,Lallim,,94.27227370,24.07886570,No MIMU village source matched this CoreMap settlement under an approved township
158789,b298dfc1-c029-4c42-bf03-feee2de2f584,曼莱班,village,6523,Man Loi Pan,,97.57506200,22.44228410,No MIMU village source matched this CoreMap settlement under an approved township
158790,442061fa-3d24-45d1-9d91-a804c59d75b0,帕丘昂,village,6523,Pyi Kyaw Aung,,97.61778940,22.47893600,No MIMU village source matched this CoreMap settlement under an approved township
158791,12d880dd-e2e4-42f5-95b3-b86c8fd7a310,那纽,village,6523,Na-nio,,97.73138140,22.54242670,No MIMU village source matched this CoreMap settlement under an approved township
158792,bd4d89bf-ed4a-4d98-9386-d11c86087535,霍科,village,6479,Ho-hko,,97.91262900,22.45634170,No MIMU village source matched this CoreMap settlement under an approved township
158793,71b49122-2337-46df-afb8-81315aa29c5a,လွယ်တောက် (Loi Tauk),village,6468,လွယ်တောက် (Loi Tauk),လွယ်တောက် (Loi Tauk),97.56982370,22.99153350,No MIMU village source matched this CoreMap settlement under an approved township
158809,49db951a-7af3-42bf-a575-9fdb2d4e062a,ရေကျော်ရွာသစ်,village,5877,,ရေကျော်ရွာသစ်,97.91988310,16.74504990,No MIMU village source matched this CoreMap settlement under an approved township
158824,089bd19e-5fb5-4400-a54e-ed8c5e78786d,瑙桥,village,6569,,,97.98075890,23.49557530,No MIMU village source matched this CoreMap settlement under an approved township
158826,13092add-02cc-4fee-8daf-a69c0238d4fc,索阳,village,6600,,,97.98507090,24.04100850,No MIMU village source matched this CoreMap settlement under an approved township
158827,ae4c9511-5982-419b-9209-068fa93c1ce0,Sint Gu,village,7187,Sint Gu,,95.12866260,17.35611700,No MIMU village source matched this CoreMap settlement under an approved township
158828,98544ca5-bbb1-428b-96b9-76728895ead1,In Hlyar Kone (East),village,7187,In Hlyar Kone (East),,95.12454810,17.35670840,No MIMU village source matched this CoreMap settlement under an approved township
158829,33481a3a-5ee4-42f8-881f-167b2b9eaef9,IN Hlar Kone (West),village,7187,IN Hlar Kone (West),,95.12050330,17.35509300,No MIMU village source matched this CoreMap settlement under an approved township
158830,94af7e30-e2fe-4dc6-9523-ddc96c9f685e,捷燕,village,6523,Zay Ann,,97.53587470,22.69997730,No MIMU village source matched this CoreMap settlement under an approved township
158832,ad0a3cd7-3b9c-4d73-a201-c2182ddd70a5,加迪诺,village,6488,Kathino,,98.88110090,22.94387400,No MIMU village source matched this CoreMap settlement under an approved township
158834,2b06da5b-1053-44e3-a74a-4b85b25c8e44,贡桑,village,6488,Kungsa,,99.05235230,22.86814400,No MIMU village source matched this CoreMap settlement under an approved township
158838,5b0e71de-f9d7-450e-a42a-5870cb0b4294,曼瑙瓜,village,6328,Man Nawkwa,,98.85034480,22.12013550,No MIMU village source matched this CoreMap settlement under an approved township
158840,91de37f5-f1f0-4891-ba00-7362f974bd19,ဟိုထော,village,6408,,ဟိုထော,100.49153670,21.41145700,No MIMU village source matched this CoreMap settlement under an approved township
158844,e761dd62-e0ee-4724-b000-9d64e3a21c78,天生桥,village,6441,,,98.54656210,23.49692850,No MIMU village source matched this CoreMap settlement under an approved township
158846,94e908ef-341b-438c-b686-d15a278a2805,孟巴,village,6467,,,98.08325330,22.52731430,No MIMU village source matched this CoreMap settlement under an approved township
158850,3c789654-25fd-48bf-b208-cebfe7271ac8,勐宁,village,6331,Mongnung,,99.38238900,21.76661640,No MIMU village source matched this CoreMap settlement under an approved township
158851,a8e74692-9a76-4d4d-9e28-92b3f519cfd5,凯隆,village,6385,,,98.32625420,19.71552210,No MIMU village source matched this CoreMap settlement under an approved township
158852,2edba074-0ec7-40a7-ad84-3f0ca0b1c1fb,万巴约,village,6385,Wan Payok,,98.26111990,19.74223260,No MIMU village source matched this CoreMap settlement under an approved township
158853,93ae8b88-02f8-403b-a9f8-93f514d507db,နာဒဲပေါ်ရွာ,village,6408,Nar De (Upper),နာဒဲပေါ်ရွာ,100.79159050,21.47509420,No MIMU village source matched this CoreMap settlement under an approved township
158854,b8011290-09a3-4dbd-9d12-79ed1e1fe06d,လို့လောင်း,village,6408,,လို့လောင်း,100.97289920,21.60153820,No MIMU village source matched this CoreMap settlement under an approved township
158855,1058acfa-0f97-441a-8dd7-852991537cf8,ဟွေလိပ်,village,6408,Hway Leik,ဟွေလိပ်,100.72699260,21.45961030,No MIMU village source matched this CoreMap settlement under an approved township
158859,794a87b6-d4ed-4e92-b405-669fafc5e90d,Long Ngaw,village,6681,Long Ngaw,,97.93968490,27.55294630,No MIMU village source matched this CoreMap settlement under an approved township
158860,36aa8dd9-82fb-42a3-a974-110b064b272f,罗锅塘,village,6600,,,98.52850060,24.09404980,No MIMU village source matched this CoreMap settlement under an approved township
158861,fae796e9-4d46-427d-822a-ea9deae580fb,绿阴堂,village,6600,,,98.45928370,24.12291280,No MIMU village source matched this CoreMap settlement under an approved township
