postal_code,status,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,inferred_locality_type,matched_township_public_id,matched_township_id,matched_local_admin_public_id,matched_local_admin_area_id,name_evidence,match_method,reason,v2_status,manifest_version,production_apply,preserve_existing_geom
0101218,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြင်သာ ကျေးရွာအုပ်စု,Myin Thar Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,bd98ed90-8e60-4ea7-b303-03be05f94015,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001019:row4352:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101219,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရေနားပင်လုံ ကျေးရွာအုပ်စု,Yae Nar Pin Lon Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,d2615f38-8e10-4ca3-bcb3-9059683f9340,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001020:row4368:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101220,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပင်တော် ကျေးရွာအုပ်စု,Pin Taw Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,8c65312a-cd6a-4c91-aaa3-c2c3331be3b9,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001021:row4101:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101221,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တောပင်လုံ ကျေးရွာအုပ်စု,Taw Pin Lon Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,b48385d3-86d6-411d-a09b-716b3c2c33f6,,exact_my,exact_local_frozen_create,linked to frozen create village_tract:MMR001001022:row4367:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101222,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မံကင်း ကျေးရွာအုပ်စု,Man Kin Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,96451ed2-8e26-4684-a3bf-70f8b690c552,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001023:row4350:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101223,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဝဲကြီး ကျေးရွာအုပ်စု,Wea Gyi Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,f84f89fb-847c-4780-9ca4-7585db35ed4e,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001024:row4364:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101224,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နောင်ပွဲ ကျေးရွာအုပ်စု,Nawng Pwe Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,d8915227-929d-411c-9e39-8f5dee483f72,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001025:row4357:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101225,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နယ်ခြား ကျေးရွာအုပ်စု,Nei Char Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,67a1b778-5572-41e5-88ba-c1f9f7f859e1,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001026:row4358:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101226,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မံဖွား ကျေးရွာအုပ်စု,Man Hpwar Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,7ee0b517-2fa5-4b3a-9c4c-a9ecde24bcdb,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001027:row4349:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101227,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ညောင်ပင်သာ ကျေးရွာအုပ်စု,Nyaung Pin Thar Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,8e62b096-0db5-4a1c-b806-d765aa40f466,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001028:row4359:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101228,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဝိုင်းလုံ ကျေးရွာအုပ်စု,Waing Lon Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,5c10e00d-9bc9-4300-a730-591ce40b06c7,,exact_my,exact_local_frozen_create,linked to frozen create village_tract:MMR001001029:row4373:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
